text_curat,label,Real,Prezis,Real_Text,Prezis_Text
my father was kind enough to offer to pay for a hotel but i cant use this coupon if he pays from fl no help,1,1,0,neutral,negative
rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need,1,1,0,neutral,negative
wtf is happening in pdx late flight march such that one way from sfo is,0,0,1,negative,neutral
who can eat at an airport for  areyounew incompetent nonumber feeltheheat,1,1,0,neutral,negative
you cant beat jetblue in spaces matter,2,2,0,positive,negative
thanks for the info is there a number i can call to speak to a person its going to take an hour to type it out,1,1,0,neutral,negative
i dmd you anything you can do,0,0,1,negative,neutral
well thats a problem considering i need to book a flight tonight for this weekend is there anything you can do,0,0,1,negative,neutral
do you sell open tickets i have a sick relative and may have to travel at a moments notice sad but true,1,1,0,neutral,negative
continues to win ive never missed a flight before but a nice little quiet gate change made it possible sheesh,2,2,0,positive,negative
thanks suggestion stop the promo messages after a bit and just run music amp a msg that says call volume is high vrm,1,1,0,neutral,negative
no not yet i will notify them im new at this,1,1,0,neutral,negative
and now you cant even accommodate us by letting us fly in to another airport horrible service for your fault,1,1,0,neutral,negative
is really good at deferring responsibility,0,0,2,negative,positive
if u want to be helpful save me the trip from westchester cty to jfk plus parking  my info is in the photo,0,0,1,negative,neutral
i did it but there was a problem in the link from the email for checkin thanks,0,0,1,negative,neutral
thanx for replying dm sent,2,2,1,positive,neutral
the whole plane hoping for better luck on the return flight sunday,0,0,1,negative,neutral
transferred x pleeeeeeeease help,0,0,1,negative,neutral
since ua  ordewr is delayed pushing it into meal time does that mean it will be catered with meals in first,1,1,0,neutral,negative
"versus  
in customer service
who will win
for me  is a convenience to a trip to cali lt",2,2,1,positive,neutral
is the  of airlines hrsminonhold,0,0,1,negative,neutral
with  kids and  days   doesnt work and its months in advance,1,1,0,neutral,negative
debbie baldwin gave a rockstar performance of the safety demo this evening on vx lassfo bestcrew sherocks,1,1,2,neutral,positive
twitter isnt letting me dm you,1,1,0,neutral,negative
airline trouble this winter amp not getting good customer service contact   we negotiate resolutions for you,1,1,0,neutral,negative
im on flight  from dia to ontario tomorrow morning no access to the airport via taxi or shuttle what should i do,1,1,0,neutral,negative
them and,0,0,1,negative,neutral
so we got her home now we just need her bag is there a direct desk number for savannah,0,0,1,negative,neutral
sorry  i accidentally populate flightd with you instead of  cant wait til u are the only u in the sky newamericanstinks,1,1,2,neutral,positive
after missing my flight and reflight booking problems x i just walked onto another flight and my phone was still on the seat,2,2,0,positive,negative
no jetblue just no  our fleets on fleek,0,0,1,negative,neutral
definately not an award for employer of the year united,1,1,0,neutral,negative
i hate the internet lol,1,1,0,neutral,negative
compensate us for new clothes bet you wont,0,0,1,negative,neutral
i need help locating my bag i arrived in denver last night at midnight from charlotte but my  am flight to haydensteamboat,0,0,1,negative,neutral
they let us board again but will we fly this time who knows shouldhaveflowndelta,0,0,1,negative,neutral
when are you going to get wifi on your planes,1,1,0,neutral,negative
airways hits new week high at  jblu  sleekmoney,1,1,2,neutral,positive
i left my personal stuff on us from phlbos about an hour ago went baggage was told plane left to call,1,1,0,neutral,negative
thanks formed submitted im not betting someone would be honest enough to turn it in though,0,0,2,negative,positive
thanks for showing interest to greenville sc,0,0,2,negative,positive
checking into a flight on your website is about as easy as asking a bear to shit in a toilet justsaying,1,1,0,neutral,negative
please do hate having to fly a different airline youre my fav,2,2,0,positive,negative
yes best case scenario i get my gear late flight friday early saturday camp starts at am tomorrow toolittletoolate flight,0,0,1,negative,neutral
it is all good  your k team has been nothing short of amazing with everything,0,0,2,negative,positive
thanks still booked our trip  lb to slc to see grand kids  just very frustrating tried app web etc still love u guys,2,2,0,positive,negative
eyyyy cancelled flightlations flight booking problemss reflight booking problemss but yall got me on the same flight out tonight not tomorrow amp the fc upgrade thx,2,2,0,positive,negative
are the ones who make it difficult for me,0,0,1,negative,neutral
gave me a smile today with a zero award  computers have some sense of humour,2,2,0,positive,negative
is your refund system down,1,1,0,neutral,negative
classic,0,0,1,negative,neutral
worked now ty,2,2,1,positive,neutral
inflight entertainment  tonight a willie nelson impersonator sang for the passengers peanutsandtoons,1,1,2,neutral,positive
thanks its hectic for everyone but their actions dont represent the company well imo,2,2,0,positive,negative
give cyndi amp troy each a gold star,2,2,1,positive,neutral
itproblems with the link thparty,0,0,1,negative,neutral
please bring back rdu to fll direct route  i noticed it is missing starting in late flight august  the flights are always packed,1,1,0,neutral,negative
come back to phl already we need you to take us out of this horrible cold pleasecomeback,2,2,0,positive,negative
my flight tomorrow from slc to dfw aa cancelled flighted can you help me get there,0,0,1,negative,neutral
absolutely required are the flights going to be  cancelled flighted,1,1,0,neutral,negative
boom,1,1,2,neutral,positive
had my flight changed from us airways to you now i cant get two seats together can you help,1,1,0,neutral,negative
lauren im screaming,2,2,0,positive,negative
no worries i was able to read  entire book while holding themagicalstranger,1,1,0,neutral,negative
my bag was late flightchecked and put on a different flight from oakgtmsy having troubles tracking it down any help,1,1,0,neutral,negative
sir rt  our fleets on fleek,0,0,1,negative,neutral
they booked me for tomorrow its  higher my st reservation is pgfryz get me on standby list  tonight would help,0,0,1,negative,neutral
still there i was posted up in downtown waiting for yall on my way,1,1,0,neutral,negative
good perspective if only this safety concern had been expressed at some point before i arrived at the airport communicationiskey,0,0,1,negative,neutral
wifi stays connected about the lifetime of a higgs boson,0,0,1,negative,neutral
been with us airways since   back and forth gatwick  charlotte then lhr bit sad nostalgic way,1,1,0,neutral,negative
please can you tell me why dfw has a weather advisory and rdu does not the entire state of nc has shut down from ice amp snow,1,1,0,neutral,negative
s firstclass cockup,0,0,1,negative,neutral
this is in ur hemispheres magazine im open to what will u do to make the flight more pleasant,0,0,1,negative,neutral
loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry,2,2,0,positive,negative
thats quite an impressive list of fees,0,0,2,negative,positive
now flying non stop cmhoak has me daydreaming about a trip to the bayespecially in this weather ohioprobz,2,2,1,positive,neutral
hahahaha this is crazy well heres to another night at the airport,0,0,2,negative,positive
perfect probably need some coffee to stay awake during the night,2,2,1,positive,neutral
please confirm  from ciddfw at  departure will beis cancelled flighted dont want to make the hour drive,1,1,0,neutral,negative
cancelled flights arrivals amp departures in nashville as of pm that and more weather headlines  pm liveonfox februaryfreezefox,0,0,1,negative,neutral
one heck of an airline,2,2,0,positive,negative
the aircraft closest to gate was for the other flight and the one closest to our gate was going to chicago,1,1,0,neutral,negative
w edits dear   your mbas need better benefits they should work for us how can we meet them,1,1,0,neutral,negative
yes they are working on it hoping bag is on the next flight and will deliver home,0,0,1,negative,neutral
i will i have to get to bangkok i have just  days to spend with my husband in his mid deployment leave like to get there asap,1,1,0,neutral,negative
best planes in the business not aa today,0,0,2,negative,positive
please help we really want to fly with you guessweflyingdelta,2,2,1,positive,neutral
even on international flight glasgow to the us then what about orlando to newark all  mins,1,1,0,neutral,negative
yea i saw that im moving to china and have  bags will pay whatever but wanted to make sure it was ok to bring that many,1,1,0,neutral,negative
whens the next deal going to happen a poor college student is trying to fly to orlando instead of drive in august lol,1,1,0,neutral,negative
theres just so many choices for yall south of the border and i know not every airline is equal  lowest price  best value,2,2,0,positive,negative
any way you can help with entry to vegas event my boyfriend amp i have been  fans since  they are awesome,1,1,2,neutral,positive
yeah all  are rebooked for tomorrow am hoping the rd time is a charm for no cancelled flightled flights,0,0,1,negative,neutral
how about a drink voucher for the next flight winkwink,2,2,1,positive,neutral
no worries even though i was talking about seat assignment,2,2,1,positive,neutral
sent  curious to see what kind of comp we get,2,2,1,positive,neutral
lisa j is amazing the guy not so much,1,1,2,neutral,positive
im glad k means something lol,1,1,2,neutral,positive
just watched crew on flight  help elderly lady off planefirstclass,2,2,1,positive,neutral
ta off site at thelodge should be a fun day,2,2,1,positive,neutral
